1. Prothonotary Warbler	2. Wilson's Warbler	3. Prairie Warbler	4. Yellow Warbler
1. Wilson's Warbler	2. Yellow Warbler	3. Common Yellowthroat	4. Hooded Warbler
1. Swamp Sparrow	2. Lincoln's Sparrow	3. Song Sparrow	4. Vesper Sparrow
1. Say's Phoebe	2. Black Phoebe	3. Olive-sided Flycatcher	4. Eastern Phoebe
1. Northern Cardinal	2. Cedar Waxwing	3. Pyrrhuloxia	4. Phainopepla
1. White-crowned Sparrow	2. Swamp Sparrow	3. White-throated Sparrow	4. Song Sparrow
1. Fish Crow	2. American Crow	3. Gray Jay	4. Common Raven
1. Barn Swallow	2. Common Grackle	3. Tree Swallow	4. Purple Martin
1. Scarlet Tanager	2. Northern Cardinal	3. Pyrrhuloxia	4. Bobolink
1. Northern Rough-winged Swallow	2. Barn Swallow	3. Tree Swallow	4. Bank Swallow
1. American Goldfinch	2. Evening Grosbeak	3. Purple Finch	4. Pine Grosbeak
1. Brown Creeper	2. Pygmy Nuthatch	3. Red-breasted Nuthatch	4. Brown-headed Nuthatch
1. White-tipped Dove	2. Inca Dove	3. Common Ground Dove	4. White-winged Dove
1. Gray-cheeked Thrush	2. Townsend's Solitaire	3. Northern Shrike	4. Mountain bluebird
1. Ovenbird	2. Carolina Wren	3. Cactus Wren	4. Tufted Titmouse
1. Lark Sparrow	2. Ovenbird	3. Louisiana Waterthrush	4. Northern Waterthrush
1. Bushtit	2. Lucy's Warbler	3. Verdin	4. Blue-gray Gnatcatchers
1. Northern Waterthrush	2. Ovenbird	3. Song Sparrow	4. Louisiana Waterthrush
1. Evening Grosbeak	2. American Goldfinch	3. Lawrence's Goldfinch	4. Lesser Goldfinch
1. Canyon Wren	2. Winter Wren	3. Sedge Wren	4. Rock Wren
1. Veery	2. Varied Thrush	3. Swainson's Thrush	4. American Robin
1. Hutton's Vireo	2. Ruby-crowned Kinglet	3. Golden-crowned Kinglet	4. Cassin's Vireo
1. Eastern Phoebe	2. Western Wood-Pewee	3. Greater Pewee	4. Olive-sided Flycatcher
1. Winter Wren	2. Marsh Wren	3. House Wren	4. Bewick's Wren
